Analysis,Row,Identifier 1,Identifier 2,Comment,Peak Nr,Rt,Area All,R 45N2O/44N2O,R 46N2O/44N2O,Inj Vol,Sample ID,Min Funct,d15N,d18O,R15,R17,R18
M-72948,1,Acros 1ml-B1,HS-Drift,o5,1,125.2,40.694,0.0077475,0.0021031,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,2,165.1,40.817,0.0077469,0.0021028,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,3,463.8,40.544,0.0077485,0.0021033,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,4,513.3,40.638,0.0077484,0.0021032,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,5,563,40.771,0.007748,0.0021033,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,6,613,40.671,0.0077475,0.0021028,,,,,,,,
M-72948,1,Acros 1ml-B1,HS-Drift,o5,7,1090.6,180.6,0.0078554,0.0021567,1,,3.65E-09,14.89794,67.14655,0.003731,0.000393,0.00214
M-72949,2,blank,blank,b6,1,125.2,40.655,0.0077478,0.0021029,,,,,,,,
M-72949,2,blank,blank,b6,2,165.1,40.782,0.0077468,0.0021027,,,,,,,,
M-72949,2,blank,blank,b6,3,463.8,40.616,0.0077491,0.0021033,,,,,,,,
M-72949,2,blank,blank,b6,4,505.6,40.534,0.0077478,0.0021029,,,,,,,,
M-72949,2,blank,blank,b6,5,563,40.7,0.0077478,0.0021029,,,,,,,,
M-72949,2,blank,blank,b6,6,612.8,40.697,0.0077475,0.0021028,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,1,125.4,40.703,0.0077483,0.0021029,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,2,165.1,40.668,0.0077476,0.0021026,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,3,463.8,40.495,0.0077487,0.002103,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,4,513.3,40.568,0.0077485,0.002103,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,5,563.3,40.669,0.0077484,0.002103,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,6,613,40.623,0.0077475,0.0021028,,,,,,,,
M-72950,3,Acros 0-02ml,HS,q7,7,1090.8,165.117,0.0078541,0.0021568,0.02,,7.29E-09,14.71983,67.19726,0.003731,0.000393,0.00214
M-72951,4,Acros 0-1ml,HS,f7,1,121,40.517,0.007748,0.0021027,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,2,165.1,40.737,0.0077476,0.0021028,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,3,463.6,40.448,0.0077482,0.0021028,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,4,512.3,40.532,0.0077479,0.0021029,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,5,563,40.638,0.0077477,0.0021028,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,6,612.8,40.584,0.0077475,0.0021028,,,,,,,,
M-72951,4,Acros 0-1ml,HS,f7,7,1090.6,188.285,0.0078564,0.0021564,0.1,,9.98E-10,15.03782,66.99625,0.003732,0.000393,0.00214
M-72952,5,Acros 0-5ml,HS,k9,1,125.2,40.52,0.007747,0.0021029,,,,,,,,
M-72952,5,Acros 0-5ml,HS,k9,2,165.1,40.69,0.0077466,0.0021029,,,,,,,,
M-72952,5,Acros 0-5ml,HS,k9,3,462.1,40.462,0.0077475,0.002103,,,,,,,,
